phenotype	p value	Filter	GO Category	GO Annotation	Sorghum bicolor - REFLIST (33714)	upload_1 (460)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
height	p001	QTL	BP	positive regulation of cytoplasmic translation (GO:2000767)	214	39	5.14	+	7.59	1.17E-20	2.78E-17
height	p001		BP	positive regulation of cytoplasmic translation (GO:2000767)	214	44	5.78	+	7.62	5.09E-23	1.21E-19
growth	p0005	QTL	BP	positive regulation of gene expression (GO:0010628)	249	11	1.94	+	5.66	6.61E-06	3.92E-03
growth	p0005		BP	positive regulation of gene expression (GO:0010628)	249	13	2.13	+	6.11	4.39E-07	4.17E-04
growth	p001	QTL	BP	positive regulation of gene expression (GO:0010628)	249	17	2.47	+	6.87	1.55E-09	1.47E-06
growth	p001		BP	positive regulation of gene expression (GO:0010628)	249	23	3.4	+	6.77	3.64E-12	3.46E-09
height	p0001	QTL	BP	positive regulation of gene expression (GO:0010628)	249	19	3.06	+	6.21	9.63E-10	1.53E-06
height	p0001		BP	positive regulation of gene expression (GO:0010628)	249	22	3.19	+	6.9	7.20E-12	1.14E-08
height	p0005	QTL	BP	positive regulation of gene expression (GO:0010628)	249	35	5.37	+	6.52	5.84E-17	5.55E-14
height	p0005		BP	positive regulation of gene expression (GO:0010628)	249	33	5.35	+	6.17	1.89E-15	1.79E-12
height	p001	QTL	BP	positive regulation of gene expression (GO:0010628)	249	41	5.98	+	6.85	3.22E-20	3.06E-17
height	p001		BP	positive regulation of gene expression (GO:0010628)	249	46	6.72	+	6.84	2.48E-22	2.36E-19
growth	p0005	QTL	BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	16	4.42	+	3.62	1.44E-05	6.85E-03
growth	p0005		BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	17	4.84	+	3.52	1.18E-05	8.00E-03
growth	p001	QTL	BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	21	5.62	+	3.73	4.72E-07	2.24E-04
growth	p001		BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	28	7.72	+	3.63	1.33E-08	5.76E-06
height	p0001	QTL	BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	21	6.95	+	3.02	1.25E-05	3.97E-03
height	p0001		BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	23	7.25	+	3.17	2.30E-06	9.11E-04
height	p0005	QTL	BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	43	12.21	+	3.52	7.32E-12	3.16E-09
height	p0005		BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	42	12.15	+	3.46	2.27E-11	9.80E-09
height	p001	QTL	BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	50	13.6	+	3.68	3.73E-14	1.48E-11
height	p001		BP	positive regulation of macromolecule biosynthetic process (GO:0010557)	566	55	15.28	+	3.6	5.56E-15	2.03E-12
growth	p0005	QTL	BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	17	5.74	+	2.96	9.14E-05	2.41E-02
growth	p001	QTL	BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	22	7.31	+	3.01	7.54E-06	1.88E-03
growth	p001		BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	28	10.04	+	2.79	2.17E-06	5.43E-04
height	p0001	QTL	BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	24	9.04	+	2.66	2.36E-05	5.61E-03
height	p0001		BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	25	9.43	+	2.65	1.68E-05	3.99E-03
height	p0005	QTL	BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	47	15.87	+	2.96	1.98E-10	5.21E-08
height	p0005		BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	46	15.81	+	2.91	5.20E-10	1.37E-07
height	p001	QTL	BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	55	17.68	+	3.11	1.08E-12	2.84E-10
height	p001		BP	positive regulation of macromolecule metabolic process (GO:0010604)	736	61	19.87	+	3.07	1.29E-13	3.40E-11
growth	p0005	QTL	BP	positive regulation of metabolic process (GO:0009893)	750	17	5.85	+	2.91	1.14E-04	2.85E-02
growth	p001	QTL	BP	positive regulation of metabolic process (GO:0009893)	750	23	7.45	+	3.09	3.11E-06	9.22E-04
growth	p001		BP	positive regulation of metabolic process (GO:0009893)	750	29	10.23	+	2.83	1.05E-06	2.93E-04
height	p0001	QTL	BP	positive regulation of metabolic process (GO:0009893)	750	25	9.21	+	2.71	1.12E-05	3.80E-03
height	p0001		BP	positive regulation of metabolic process (GO:0009893)	750	26	9.61	+	2.71	8.10E-06	2.14E-03
height	p0005	QTL	BP	positive regulation of metabolic process (GO:0009893)	750	48	16.17	+	2.97	1.18E-10	3.49E-08
height	p0005		BP	positive regulation of metabolic process (GO:0009893)	750	47	16.11	+	2.92	3.09E-10	9.19E-08
height	p001	QTL	BP	positive regulation of metabolic process (GO:0009893)	750	57	18.02	+	3.16	2.16E-13	6.41E-11
height	p001		BP	positive regulation of metabolic process (GO:0009893)	750	63	20.24	+	3.11	2.88E-14	8.54E-12
growth	p0005	QTL	BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	17	5.69	+	2.99	8.30E-05	2.32E-02
growth	p001	QTL	BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	22	7.25	+	3.03	6.66E-06	1.76E-03
growth	p001		BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	28	9.96	+	2.81	1.87E-06	4.93E-04
height	p0001	QTL	BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	24	8.96	+	2.68	2.08E-05	5.20E-03
height	p0001		BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	25	9.35	+	2.67	1.47E-05	3.68E-03
height	p0005	QTL	BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	47	15.74	+	2.99	1.53E-10	4.28E-08
height	p0005		BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	46	15.68	+	2.93	4.07E-10	1.14E-07
height	p001	QTL	BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	56	17.54	+	3.19	2.49E-13	6.94E-11
height	p001		BP	positive regulation of nitrogen compound metabolic process (GO:0051173)	730	62	19.7	+	3.15	2.94E-14	8.22E-12
growth	p0005	QTL	BP	positive regulation of protein metabolic process (GO:0051247)	335	12	2.61	+	4.59	1.92E-05	7.01E-03
growth	p0005		BP	positive regulation of protein metabolic process (GO:0051247)	335	13	2.86	+	4.54	9.95E-06	7.87E-03
growth	p001	QTL	BP	positive regulation of protein metabolic process (GO:0051247)	335	17	3.33	+	5.11	9.62E-08	6.53E-05
growth	p001		BP	positive regulation of protein metabolic process (GO:0051247)	335	24	4.57	+	5.25	1.69E-10	1.34E-07
height	p0001	QTL	BP	positive regulation of protein metabolic process (GO:0051247)	335	20	4.11	+	4.86	1.78E-08	1.41E-05
height	p0001		BP	positive regulation of protein metabolic process (GO:0051247)	335	22	4.29	+	5.13	1.42E-09	1.12E-06
height	p0005	QTL	BP	positive regulation of protein metabolic process (GO:0051247)	335	37	7.22	+	5.12	7.95E-15	6.29E-12
height	p0005		BP	positive regulation of protein metabolic process (GO:0051247)	335	36	7.19	+	5	3.48E-14	2.75E-11
height	p001	QTL	BP	positive regulation of protein metabolic process (GO:0051247)	335	43	8.05	+	5.34	1.62E-17	1.29E-14
height	p001		BP	positive regulation of protein metabolic process (GO:0051247)	335	48	9.04	+	5.31	3.69E-19	2.92E-16
growth	p0005	QTL	BP	positive regulation of translation (GO:0045727)	231	11	1.8	+	6.1	3.34E-06	2.64E-03
growth	p0005		BP	positive regulation of translation (GO:0045727)	231	13	1.97	+	6.59	1.95E-07	3.08E-04
growth	p001	QTL	BP	positive regulation of translation (GO:0045727)	231	17	2.3	+	7.41	5.30E-10	8.39E-07
growth	p001		BP	positive regulation of translation (GO:0045727)	231	23	3.15	+	7.3	8.77E-13	1.39E-09
height	p0001	QTL	BP	positive regulation of translation (GO:0045727)	231	18	2.84	+	6.35	1.96E-09	2.33E-06
height	p0001		BP	positive regulation of translation (GO:0045727)	231	21	2.96	+	7.09	1.32E-11	1.57E-08
height	p0005	QTL	BP	positive regulation of translation (GO:0045727)	231	35	4.98	+	7.03	7.22E-18	1.14E-14
height	p0005		BP	positive regulation of translation (GO:0045727)	231	33	4.96	+	6.65	2.66E-16	4.21E-13
height	p001	QTL	BP	positive regulation of translation (GO:0045727)	231	40	5.55	+	7.21	1.89E-20	2.25E-17
height	p001		BP	positive regulation of translation (GO:0045727)	231	45	6.24	+	7.22	1.10E-22	1.31E-19
growth	p0005	QTL	BP	post-transcriptional regulation of gene expression (GO:0010608)	423	14	3.3	+	4.24	9.26E-06	4.89E-03
growth	p0005		BP	post-transcriptional regulation of gene expression (GO:0010608)	423	13	3.61	+	3.6	1.01E-04	3.69E-02
growth	p001	QTL	BP	post-transcriptional regulation of gene expression (GO:0010608)	423	18	4.2	+	4.28	4.85E-07	2.09E-04
growth	p001		BP	post-transcriptional regulation of gene expression (GO:0010608)	423	24	5.77	+	4.16	1.29E-08	6.11E-06
height	p0001	QTL	BP	post-transcriptional regulation of gene expression (GO:0010608)	423	19	5.19	+	3.66	2.46E-06	1.17E-03
height	p0001		BP	post-transcriptional regulation of gene expression (GO:0010608)	423	22	5.42	+	4.06	7.47E-08	3.55E-05
height	p0005	QTL	BP	post-transcriptional regulation of gene expression (GO:0010608)	423	38	9.12	+	4.17	1.26E-12	6.00E-10
height	p0005		BP	post-transcriptional regulation of gene expression (GO:0010608)	423	36	9.08	+	3.96	1.84E-11	8.75E-09
height	p001	QTL	BP	post-transcriptional regulation of gene expression (GO:0010608)	423	42	10.16	+	4.13	1.26E-13	4.27E-11
height	p001		BP	post-transcriptional regulation of gene expression (GO:0010608)	423	49	11.42	+	4.29	3.71E-16	1.76E-13
height	p0005	QTL	BP	regulation of biosynthetic process (GO:0009889)	2464	87	53.13	+	1.64	1.09E-05	2.25E-03
height	p0005		BP	regulation of biosynthetic process (GO:0009889)	2464	81	52.91	+	1.53	2.32E-04	4.40E-02
height	p001	QTL	BP	regulation of biosynthetic process (GO:0009889)	2464	97	59.2	+	1.64	3.37E-06	7.28E-04
height	p001		BP	regulation of biosynthetic process (GO:0009889)	2464	114	66.51	+	1.71	4.29E-08	9.26E-06
growth	p0005	QTL	BP	regulation of cellular amide metabolic process (GO:0034248)	381	14	2.97	+	4.71	2.93E-06	2.79E-03
growth	p0005		BP	regulation of cellular amide metabolic process (GO:0034248)	381	13	3.25	+	3.99	3.64E-05	1.57E-02
growth	p001	QTL	BP	regulation of cellular amide metabolic process (GO:0034248)	381	18	3.79	+	4.75	1.12E-07	6.64E-05
growth	p001		BP	regulation of cellular amide metabolic process (GO:0034248)	381	23	5.2	+	4.42	8.77E-09	5.21E-06
height	p0001	QTL	BP	regulation of cellular amide metabolic process (GO:0034248)	381	19	4.68	+	4.06	5.63E-07	3.34E-04
height	p0001		BP	regulation of cellular amide metabolic process (GO:0034248)	381	22	4.88	+	4.51	1.30E-08	7.70E-06
height	p0005	QTL	BP	regulation of cellular amide metabolic process (GO:0034248)	381	38	8.22	+	4.63	6.55E-14	3.89E-11
height	p0005		BP	regulation of cellular amide metabolic process (GO:0034248)	381	36	8.18	+	4.4	1.15E-12	6.83E-10
height	p001	QTL	BP	regulation of cellular amide metabolic process (GO:0034248)	381	43	9.15	+	4.7	1.08E-15	7.35E-13
height	p001		BP	regulation of cellular amide metabolic process (GO:0034248)	381	50	10.28	+	4.86	1.82E-18	1.24E-15
height	p0005	QTL	BP	regulation of cellular biosynthetic process (GO:0031326)	2457	87	52.98	+	1.64	1.06E-05	2.29E-03
height	p0005		BP	regulation of cellular biosynthetic process (GO:0031326)	2457	81	52.76	+	1.54	1.74E-04	3.45E-02
height	p001	QTL	BP	regulation of cellular biosynthetic process (GO:0031326)	2457	97	59.03	+	1.64	3.26E-06	7.38E-04
height	p001		BP	regulation of cellular biosynthetic process (GO:0031326)	2457	114	66.32	+	1.72	3.99E-08	9.02E-06
growth	p0005	QTL	BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	15	3	+	4.99	6.41E-07	3.05E-03
growth	p0005		BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	13	3.29	+	3.95	4.03E-05	1.60E-02
growth	p001	QTL	BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	18	3.83	+	4.71	1.30E-07	6.84E-05
growth	p001		BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	23	5.25	+	4.38	1.05E-08	5.56E-06
height	p0001	QTL	BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	19	4.73	+	4.02	6.54E-07	3.45E-04
height	p0001		BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	22	4.93	+	4.46	1.55E-08	8.16E-06
height	p0005	QTL	BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	38	8.3	+	4.58	8.83E-14	4.66E-11
height	p0005		BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	36	8.27	+	4.35	1.52E-12	8.04E-10
height	p001	QTL	BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	42	9.25	+	4.54	6.81E-15	3.59E-12
height	p001		BP	regulation of cellular macromolecule biosynthetic process (GO:2000112)	385	49	10.39	+	4.72	1.24E-17	6.52E-15
height	p0005	QTL	BP	regulation of cellular metabolic process (GO:0031323)	2769	93	59.71	+	1.56	3.14E-05	5.97E-03
height	p001	QTL	BP	regulation of cellular metabolic process (GO:0031323)	2769	104	66.53	+	1.56	1.07E-05	2.03E-03
height	p001		BP	regulation of cellular metabolic process (GO:0031323)	2769	120	74.74	+	1.61	5.46E-07	1.04E-04
growth	p0005	QTL	BP	regulation of cytoplasmic translation (GO:2000765)	214	11	1.67	+	6.59	1.65E-06	2.61E-03
growth	p0005		BP	regulation of cytoplasmic translation (GO:2000765)	214	13	1.83	+	7.11	8.44E-08	2.00E-04
growth	p001	QTL	BP	regulation of cytoplasmic translation (GO:2000765)	214	17	2.13	+	7.99	1.77E-10	4.20E-07
growth	p001		BP	regulation of cytoplasmic translation (GO:2000765)	214	23	2.92	+	7.88	2.04E-13	4.84E-10
height	p0001	QTL	BP	regulation of cytoplasmic translation (GO:2000765)	214	18	2.63	+	6.85	6.32E-10	1.50E-06
height	p0001		BP	regulation of cytoplasmic translation (GO:2000765)	214	21	2.74	+	7.66	3.49E-12	8.28E-09
height	p0005	QTL	BP	regulation of cytoplasmic translation (GO:2000765)	214	35	4.61	+	7.58	8.48E-19	2.01E-15
height	p0005		BP	regulation of cytoplasmic translation (GO:2000765)	214	33	4.6	+	7.18	3.56E-17	8.45E-14
height	p001	QTL	BP	regulation of cytoplasmic translation (GO:2000765)	214	39	5.14	+	7.59	1.17E-20	1.85E-17
height	p001		BP	regulation of cytoplasmic translation (GO:2000765)	214	44	5.78	+	7.62	5.09E-23	8.06E-20
height	p0005	QTL	BP	regulation of gene expression (GO:0010468)	2672	92	57.62	+	1.6	1.66E-05	3.29E-03
height	p0005		BP	regulation of gene expression (GO:0010468)	2672	87	57.38	+	1.52	1.73E-04	3.57E-02
height	p001	QTL	BP	regulation of gene expression (GO:0010468)	2672	103	64.2	+	1.6	4.06E-06	8.38E-04
height	p001		BP	regulation of gene expression (GO:0010468)	2672	120	72.12	+	1.66	9.11E-08	1.80E-05
height	p0005	QTL	BP	regulation of macromolecule biosynthetic process (GO:0010556)	2440	87	52.62	+	1.65	7.12E-06	1.61E-03
height	p0005		BP	regulation of macromolecule biosynthetic process (GO:0010556)	2440	81	52.4	+	1.55	1.62E-04	3.50E-02
height	p001	QTL	BP	regulation of macromolecule biosynthetic process (GO:0010556)	2440	96	58.62	+	1.64	4.23E-06	8.38E-04
height	p001		BP	regulation of macromolecule biosynthetic process (GO:0010556)	2440	113	65.86	+	1.72	5.19E-08	1.07E-05
height	p0005	QTL	BP	regulation of macromolecule metabolic process (GO:0060255)	3051	96	65.79	+	1.46	2.56E-04	3.80E-02
height	p001	QTL	BP	regulation of macromolecule metabolic process (GO:0060255)	3051	108	73.3	+	1.47	7.43E-05	1.26E-02
height	p001		BP	regulation of macromolecule metabolic process (GO:0060255)	3051	126	82.35	+	1.53	2.96E-06	4.84E-04
height	p0005	QTL	BP	regulation of metabolic process (GO:0019222)	3126	98	67.41	+	1.45	2.35E-04	3.72E-02
height	p001	QTL	BP	regulation of metabolic process (GO:0019222)	3126	111	75.1	+	1.48	5.28E-05	9.28E-03
height	p001		BP	regulation of metabolic process (GO:0019222)	3126	129	84.38	+	1.53	2.77E-06	4.70E-04
height	p0005	QTL	BP	regulation of nitrogen compound metabolic process (GO:0051171)	2845	91	61.35	+	1.48	2.12E-04	3.48E-02
height	p001	QTL	BP	regulation of nitrogen compound metabolic process (GO:0051171)	2845	103	68.35	+	1.51	4.42E-05	8.07E-03
height	p001		BP	regulation of nitrogen compound metabolic process (GO:0051171)	2845	121	76.79	+	1.58	1.36E-06	2.49E-04
height	p0005	QTL	BP	regulation of primary metabolic process (GO:0080090)	2874	91	61.97	+	1.47	2.96E-04	4.26E-02
height	p001	QTL	BP	regulation of primary metabolic process (GO:0080090)	2874	103	69.05	+	1.49	7.96E-05	1.30E-02
height	p001		BP	regulation of primary metabolic process (GO:0080090)	2874	121	77.57	+	1.56	2.08E-06	3.65E-04
growth	p0005	QTL	BP	regulation of protein metabolic process (GO:0051246)	692	16	5.4	+	2.96	1.45E-04	3.45E-02
growth	p001	QTL	BP	regulation of protein metabolic process (GO:0051246)	692	19	6.88	+	2.76	9.42E-05	1.95E-02
growth	p001		BP	regulation of protein metabolic process (GO:0051246)	692	25	9.44	+	2.65	1.76E-05	4.18E-03
height	p0001	QTL	BP	regulation of protein metabolic process (GO:0051246)	692	24	8.5	+	2.82	8.98E-06	3.28E-03
height	p0001		BP	regulation of protein metabolic process (GO:0051246)	692	27	8.87	+	3.04	6.46E-07	2.79E-04
height	p0005	QTL	BP	regulation of protein metabolic process (GO:0051246)	692	42	14.92	+	2.81	7.46E-09	1.77E-06
height	p0005		BP	regulation of protein metabolic process (GO:0051246)	692	44	14.86	+	2.96	7.59E-10	1.90E-07
